1;Sheet;Zielgruppe;Thema;;Unipark Seiten;;Seite neues Layout;Nummer neues Layout;eigene Nummer;lfd Nummer;Trust 1 v1;;Zielgruppe2;Unipark;;INESkey;;Match;Scorecard;KI;Seite;Frage;Fragetyp;Skala min;Skala max;Wert1;Wert2;Wert3;Wert4;Wert5;;Code1Bemerkung;Codierung2;Codeierung3;Schluessel;;MGT;;;;;Vignette;;ScheetE;Unipark SeitenE;eigene NummerE;lfd NummerE;Trust 1 v1E;UniparkE;EE;FrageEnglisch;;Codierung1E;Codierung2E;Codierung3E;SchluesselE;VignE;MA;;;;;
109;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;15;33;33;105;v33;;MA;v_114;;1070;;;;;;Ist es für Ihre Kollegen/innen selbstverständlich, einen qualitativ guten Job zu machen? ;1;Trifft überhaupt nicht zu;Trifft völlig zu;1;2;3;4;5;;2.2;2.2;2.2.1.4;EOC_9;;;;;;;D;;Fragen Komp entfaltung 3011 eng;;33;105;v33;v_114;;Are your colleagues committed to do quality work? ;;2.2;2.2.1.4;EOC_9;;D;;;;;;
110;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;15;34;34;106;v34;;MA;v_115;;1080;;;;;;Haben Sie einen 'guten Freund /gute Freundin' bei der Arbeit? ;1;Trifft überhaupt nicht zu;Trifft völlig zu;1;2;3;4;5;;2.2;2.2;2.2.1.4;EOC_10;;;;;;;;;Fragen Komp entfaltung 3011 eng;;34;106;v34;v_115;;Do you have a good friend at work?;;2.2;2.2.1.4;EOC_10;;;;;;;;
111;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;TRUST;;15;35;35;107;v35;;MA;v_116;;1090;;Match MM;M;Z;;Haben Sie das Gefühl, dass sich Ihr Unternehmen um Sie als Person kümmert?;1;Trifft überhaupt nicht zu;Trifft völlig zu;1;2;3;4;5;;2.2;2.2;2.2.1.5;TFC_3;;;;;;;;;Fragen Komp entfaltung 3011 eng;;35;107;v35;v_116;;Does your company seem to care about you as a person? ;;2.2;2.2.1.5;TFC_3;;;;;;;;
112;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;ECU 8;;15;36;36;108;v36;;MA;v_117;;1100;;;;;;Ruft die Mission und das Leitbild des Unternehmens das Gefühl in Ihnen hervor, dass Ihr Job wichtig ist?;1;Trifft überhaupt nicht zu;Trifft völlig zu;1;2;3;4;5;;2.2;2.2;2.2.1.3;EOC_7;;;;;;;;;Fragen Komp entfaltung 3011 eng;ECU 8;36;108;v36;v_117;;Does the mission and the purpose of your company make you feel like your job is important? ;;2.2;2.2.1.3;EOC_7;;;;;;;;
113;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;22;;15;37;37;109;v37;;MA;v_120;;1110;;Match MM;;;;Wie viele Tage sind Sie durchschnittlich krank im Jahr?;1; > 8; < 1; > 8; 7-6; 5-4; 3-1; < 1;;2.2;2.2;2.2.2.1;EOE_6;;;;;;;;;Fragen Komp entfaltung 3011 eng;22;37;109;v37;v_120;;How many days are you in average ill per year?;;2.2;2.2.2.1;EOE_6;;;;;;;;
114;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;15;38;38;110;v38;;MA;v_118;;1120;;;M;K;;Haben Sie in den letzten 7 Tagen Anerkennung oder Lob für gute Arbeit bekommen?;1;Trifft überhaupt nicht zu;Trifft völlig zu;1;2;3;4;5;;2.4;2.4;2.4.2.2;ESI_3;;;;;;;;;Fragen Komp entfaltung 3011 eng;;38;110;v38;v_118;;Have you received recognition or praise for doing good work, in the last seven days? ;;2.4;2.4.2.2;ESI_3;;;;;;;;
115;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;15;39;39;111;v39;;MA;v_121;;1130;;Match MM;;;;Wie häufig werden in Ihrem Unternehmen Mitarbeiterbefragungen durchgeführt?;1; > 10 Jahre;Jedes Jahr; > 10 Jahre;Alle 10-8 Jahre;Alle 7-5 Jahre;Alle 4-2 jahre;Jedes Jahr;;2.4;2.4;2.4.1;ESM_2;;;;;;;;;Fragen Komp entfaltung 3011 eng;;39;111;v39;v_121;;How often does your company execute employee satisfaction surveys? ;;2.4;2.4.1;ESM_2;;;;;;;;
116;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;15;40;40;112;v40;;MA;v_119;;1140;;;;;;Hat in den letzten 6 Monaten jemand mit Ihnen über Ihren Fortschritt gesprochen? ;1;Trifft überhaupt nicht zu;Trifft völlig zu;1;2;3;4;5;;2.4;2.4;2.4.2.3;ESG_6;;;;;;;;;Fragen Komp entfaltung 3011 eng;;40;112;v40;v_119;;In the last 6 month has someone at work talked to you about your progress? ;;2.4;2.4.2.3;ESG_6;;;;;;;;
117;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;ECU 9 ;;15;41;41;113;v41;;MA;v_122;;1150;;;;;;Hatten Sie im letzten Jahr Möglichkeiten bei der Arbeit zu lernen und zu wachsen?;1;Trifft überhaupt nicht zu;Trifft immer zu;1;2;3;4;5;;2.4;2.4;2.4.2.3;ESG_2;;;;;;;;;Fragen Komp entfaltung 3011 eng;ECU 9 ;41;113;v41;v_122;;In the last year, have you had opportunities to learn and grow at work?;;2.4;2.4.2.3;ESG_2;;;;;;;;
118;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;23;;15;42;42;114;v42;;MA;v_123;;1160;;;;;;Finden Sie, dass Sie in Ihrem Unternehmen in Ihrer persönlichen Weiterentwicklung unterstützt werden?;1;Trifft überhaupt nicht zu;Trifft völlig zu;1;2;3;4;5;;2.4;2.4;2.4.2.3;ESG_3;;;;;;;;;Fragen Komp entfaltung 3011 eng;23;42;114;v42;v_123;;Is there someone at work who encourages your development? ;;2.4;2.4.2.3;ESG_3;;;;;;;;
119;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;15;43;43;115;v43;;MA;v_124;;1170;;;;;;Haben Sie das Gefühl, dass Ihre Umgebung ein Gefühl der Ausgeglichenheit Ihrer Bedürfnisse erlaubt? (z.B. Sicherheit/Flexibilität oder Nähe/Distanz…);1;Trifft überhaupt nicht zu;Trifft völlig zu;1;2;3;4;5;;2.4;2.4;2.4.2.3;ESI_2;;;;;;;;;Fragen Komp entfaltung 3011 eng;;43;115;v43;v_124;;Do you feel like the environment you work in allows you to balance your needs perpetual or again and again? (Like stability/flexibility or closeness/distance…);;2.4;2.4.2.3;ESI_2;;;;;;;;
120;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;ECU 10 ;;15;44;44;;v44;;MA;v_125;440;1180;;Match MM;;;;Wie beurteilen Sie in der Praxis das Thema Vertrauen und verantwortliches Handeln in Ihrem Unternehmen?;;;;;;;;;;;;;;;;;;;;;;Fragen Komp entfaltung 3011 eng;ECU 10 ;44;;v44;v_125;440;How do you evaluate the issue of trust and responsible action in practice? ;;;;;;;;;;;;
121;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;24;;16;;44;116;v44;;MA;v_126;441;1190;1180;Match MM;;;;Das Vertrauen der Beschäftigten in die Geschäftsführung ist…;1;sehr klein;sehr groß;1;2;3;4;5;;1;;;T_1;;;;;;;;;Fragen Komp entfaltung 3011 eng;24;44;116;v44;v_126;441;trust of employees in management is…;;1;;T_1;;;;;;;;
122;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;TRUST;;16;;44;117;v44;;MA;v_127;442;1200;1180;Match MM;;;;Die Gemeinsamkeiten zwischen den Zielen der Geschäftsführung und denen der Beschäftigten sind….;1;sehr klein;sehr groß;1;2;3;4;5;;1.2;1.2;1.2.4;TCS_2;;;;;;;;;Fragen Komp entfaltung 3011 eng;TRUST;44;117;v44;v_127;442;commonalities between management and employee goals are… ;;1.2;1.2.4;TCS_2;;;;;;;;
123;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;TRUST;;16;;44;118;v44;;MA;v_128;443;1210;1180;Match MM;;;;Das Verständnis für die Maßnahmen der Geschäftsführung ist…;1;sehr klein;sehr groß;1;2;3;4;5;;1.2;1.2;1.2.1;TCV_15;;;;;;;;;Fragen Komp entfaltung 3011 eng;;44;118;v44;v_128;443;the understanding of management decisions is… ;;1.2;1.2.1;TCV_15;;;;;;;;
124;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;TRUST;;16;;44;119;v44;;MA;v_216;444;1220;1180;;;;;Das Einbeziehen der Beschäftigten in Entscheidungsprozesse ist …;1;sehr klein;sehr groß;1;2;3;4;5;;1.4;1.4;1.4.3;TDA_3;;;;;;;;;Fragen Komp entfaltung 3011 eng;;44;119;v44;v_216;444;the involvement of employees in the decision making process is…;;1.4;1.4.3;TDA_3;;;;;;;;
125;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;TRUST;;16;;44;120;v44;;MA;v_129;445;1230;1180;Match MM;;;;Der Anteil der Fehler, für die Beschäftigte verantwortlich gemacht werden, ist…;1;sehr klein;sehr groß;1;2;3;4;5;;1.1;1.1;1.1.4;TFF_3;;;;;;;B;;Fragen Komp entfaltung 3011 eng;;44;120;v44;v_129;445;the share of failures employees are hold liable for is…;;1.1;1.1.4;TFF_3;;B;;;;;;
126;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;TRUST;;16;;44;121;v44;;MA;v_217;446;1240;1180;;;;;Zu erfahren, welche Fehler passieren, ist …;1;sehr klein;sehr groß;1;2;3;4;5;;1.1;1.1;1.1.4;TFF_5;;;;;;;;;Fragen Komp entfaltung 3011 eng;;44;121;v44;v_217;446;to be informed which failures happen is… ;;1.1;1.1.4;TFF_5;;;;;;;;
127;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;TRUST;;16;;44;122;v44;;MA;v_130;447;1250;1180;Match MM;;;;Der Anteil der Fehler, von denen die Geschäftsführung Kenntnis erlangt, ist…;1;sehr klein;sehr groß;1;2;3;4;5;;1.1;1.1;1.1.4;TFF_4;;;;;;;B;;Fragen Komp entfaltung 3011 eng;;44;122;v44;v_130;447;/ the share of failures management gains knowledge of is…;;1.1;1.1.4;TFF_4;;B;;;;;;
128;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;16;45;45;;v45;;MA;v_132;450;1260;;Match MM;;;;Inwieweit entspricht die alltägliche Praxis in Ihrem Unternehmen folgenden Aussagen zum Thema transparente Führung und Mitarbeiterbeteiligung?;;;;;;;;;;;;;;;;;;;;;;Fragen Komp entfaltung 3011 eng;;45;;v45;v_132;450;In how far does the practical experience support the following statements in terms of transparent leadership and employee participation;;;;;;;;;;;;
129;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;TRUST;;16;;45;123;v45;;MA;v_133;451;1270;1260;Match MM;;;;Im Unternehmen herrscht Lohntransparenz;1;Trifft gar nicht zu;Trifft voll zu;1;2;3;4;5;;1.2;;;TCV_20;;;;;;;;;Fragen Komp entfaltung 3011 eng;;45;123;v45;v_133;451;salary is transparent within the company;;1.2;;TCV_20;;;;;;;;
130;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;16;;45;124;v45;;MA;v_134;452;1280;1260;Match MM;;;;Das Management stellt sich regelmäßig der Bewertung durch die Beschäftigten (z.B.  anonyme Mitarbeiterbefragungen);1;Trifft gar nicht zu;Trifft voll zu;1;2;3;4;5;;2.4;2.4;2.4.1;ESM_3;;;;;;;;;Fragen Komp entfaltung 3011 eng;;45;124;v45;v_134;452;management is regularly evaluated by employees ;;2.4;2.4.1;ESM_3;;;;;;;;
131;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;TRUST;;16;;45;125;v45;;MA;v_135;453;1290;1260;Match MM;P;T;;Bei wichtigen Entscheidungen werden die Beschäftigten regelmäßig am Entscheidungsprozess beteiligt;1;Trifft gar nicht zu;Trifft voll zu;1;2;3;4;5;;1.4;1.4;1.4.3;TDA_2;;;;;;;F;;Fragen Komp entfaltung 3011 eng;;45;125;v45;v_135;453;employees are involved regularly in important decisions ;;1.4;1.4.3;TDA_2;;F;;;;;;
132;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;16;;45;126;v45;;MA;v_136;454;1300;1260;Match MM;;;;Mit jedem Mitarbeiter/Mitarbeiterin wird gemeinsam ein Qualifizierungsplan (Fort-und Weiterbildung) entwickelt;1;Trifft gar nicht zu;Trifft voll zu;1;2;3;4;5;;2.4;2.4;2.4.2.3.;ESI_8;;;;;;;;;Fragen Komp entfaltung 3011 eng;;45;126;v45;v_136;454;together with each employee a qualification plan is developed ;;2.4;2.4.2.3.;ESI_8;;;;;;;;
133;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;17;46;46;;v46;;MA;v_138;460;1310;;Match MM;;;;Wie bewerten Sie folgende Aussagen über den Führungsstil in Ihrem Unternehmen?;;;;;;;;;;;;;;;;;;;;;;Fragen Komp entfaltung 3011 eng;;46;;v46;v_138;460;How do you evaluate the following statements on leadership in your organization?;;;;;;;;;;;;
134;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;TRUST;;17;;46;127;v46;;MA;v_139;461;1320;1310;Match MM;;;;Das Vertrauen der Beschäftigten zu erhalten ist…;1;sehr unwichtig;sehr wichtig;1;2;3;4;5;;1;;T_2;T_2;;;;;;;;;Fragen Komp entfaltung 3011 eng;;46;127;v46;v_139;461;to keep employees‘ trust is… ;;1;;T_2;;;;;;;;
135;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;17;;46;128;v46;;MA;v_140;462;1330;1310;Match MM;;;;Auf ein ausgewogenes Verhältnis zwischen Leistungserwartung und Vergütung zu achten ist ….;1;sehr unwichtig;sehr wichtig;1;2;3;4;5;;2.4;2.4.2;2.4.3;ESI_1;;;;;;;;;Fragen Komp entfaltung 3011 eng;;46;128;v46;v_140;462;to take care on a balanced ration of performance expectation and salary is… ;;2.4;2.4.2;ESI_1;;;;;;;;
136;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;TRUST;;17;;46;129;v46;;MA;v_141;463;1340;1310;Match MM;;;;Wichtige Entscheidungen im ganzen Unternehmen transparent zu machen ist …;1;sehr unwichtig;sehr wichtig;1;2;3;4;5;;1.3;1.3.2;1.3.2;TNC_8;;;;;;;;;Fragen Komp entfaltung 3011 eng;;46;129;v46;v_141;463;to communicate important decisions to the entire staff is…;;1.3;1.3.2;TNC_8;;;;;;;;
137;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;TRUST;;17;;46;130;v46;;MA;v_142;464;1350;1310;Match MM;;;;Das Einbeziehen der Beschäftigten in Entscheidungsprozesse ist …;1;sehr unwichtig;sehr wichtig;1;2;3;4;5;;1.4;1.4.3;1.4.3;TDA_3;;;;;;;F;;Fragen Komp entfaltung 3011 eng;;46;130;v46;v_142;464;to involve employees in decision processes is... ;;1.4;1.4.3;TDA_3;;F;;;;;;
138;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;TRUST;;17;;46;131;v46;;MA;v_143;465;1360;1310;Match MM;;;;Teamorientiertes Führungsverhalten ist …;1;sehr unwichtig;sehr wichtig;1;2;3;4;5;;1.4;1.4.3;1.4.3;TDA_4;;;;;;;F;;Fragen Komp entfaltung 3011 eng;;46;131;v46;v_143;465;team-oriented leadership behavior is… ;;1.4;1.4.3;TDA_4;;F;;;;;;
139;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;TRUST;;17;;46;132;v46;;MA;v_144;466;1370;1310;Match MM;;;;Zu erfahren, welche Fehler passieren, ist …;1;sehr unwichtig;sehr wichtig;1;2;3;4;5;;1.1;1.1.4;1.1.4;TFF_5;;;;;;;B;;Fragen Komp entfaltung 3011 eng;;46;132;v46;v_144;466;to be informed which failures happen is…;;1.1;1.1.4;TFF_5;;B;;;;;;
140;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;;;17;;46;133;v46;;MA;v_145;467;1380;;Match MM;;;;Die Anerkennung positiver Leistung der Beschäftigten ist…;;sehr unwichtig;sehr wichtig;1;2;3;4;5;;2.4;2.4.2.2;2.4.3.2;ESI_4;;;;;;;;;Fragen Komp entfaltung 3011 eng;;46;133;v46;v_145;467;the recognition of positive employee performance is… ;;2.4;2.4.2.2;ESI_4;;;;;;;;
141;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;TRUST;;17;;46;134;v46;;MA;v_146;468;1390;1380;Match MM;;;;Dass Beschäftigte für Fehler zur Verantwortung  gezogen werden, ist …;1;sehr unwichtig;sehr wichtig;1;2;3;4;5;;1.1;1.1.4;1.1.4;TFF_6;;;;;;;B;;Fragen Komp entfaltung 3011 eng;;46;134;v46;v_146;468;that employees are hold accountable for failures is… ;;1.1;1.1.4;TFF_6;;B;;;;;;
142;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;TRUST;;17;;46;135;v46;;MA;v_147;469;1400;1380;Match MM;P;L;;Freiräume für Kreativität und Lernschleifen (z.B. KVP = kontinuierliche Verbesserung, Team Runden) sind …;1;sehr unwichtig;sehr wichtig;1;2;3;4;5;;1.4;1.4.2;1.4.2;TDE_6;;;;;;;D;;Fragen Komp entfaltung 3011 eng;;46;135;v46;v_147;469;tolerance and free space for creativity and learning loops (e.g. team meetings) is…;;1.4;1.4.2;TDE_6;;D;;;;;;
143;Fragen Komp entfaltung 30112022;Mitarbeiter;Kompetenz;;TRUST;;17;;46;136;v46;;MA;v_148;470;1410;1380;Match MM;M;Z;;Die Zusagen einzuhalten, die den Beschäftigten gemacht werden, ist …;1;sehr unwichtig;sehr wichtig;1;2;3;4;5;;1.1;1.1.1.2;1.1.1.2;TFA_16;;;;;;;;;Fragen Komp entfaltung 3011 eng;;46;136;v46;v_148;470;to comply with promises given to employees is… ;;1.1;1.1.1.2;TFA_16;;;;;;;;
144;Fragen Business Excell 3011 ;Mitarbeiter;BE;;BE 1;;18;1;1;;104;;MA;v_149;;1420;;Match MM;;;;Strategie & Leitbild & Kennzahlen (Zielentfaltung);;;;;;;;;;;;;;;;;;;X;;;Fragen Business Excell 3011 eng;BE 1;;;104;v_149;;Strategy & mission statement & key figures;;;;;;;;;;;;
145;Fragen Business Excell 3011 ;Mitarbeiter;;;25;;18;;;137;105;;MA;v_150;;1430;1420;Match MM;;;;Die Visionen und die Strategie des Unternehmens sind klar formuliert;1;überhaupt nicht umgesetzt;komplett umgesetzt;1;2;3;4;5;;1.2;1.2.1;TCV_18;TCV_18;1.2;;;;;X;;;Fragen Business Excell 3011 eng;25;;137;105;v_150;;The vision and the strategy in your company are clearly phrased ;;1.2;1.2.1;TCV_18;;;;;;;;
146;Fragen Business Excell 3011;Mitarbeiter;;;;;18;;;138;106;;MA;v_151;;1440;1420;Match MM;;;;Die Mitarbeitenden kennen die Vision, Mission, Strategie des Unternehmens;1;überhaupt nicht umgesetzt;komplett umgesetzt;1;2;3;4;5;;1.2;1.2.1;TCV_13;TCV_13;1.2;;;;;X;;;Fragen Business Excell 3011 eng;;;138;106;v_151;;The employees know the vision, mission and strategy of the company ;;1.2;1.2.1;TCV_13;;;;;;;;
147;Fragen Business Excell 3011;Mitarbeiter;;;;;18;;;139;107;;MA;v_152;;1450;1420;Match MM;;;;Die Ziele und Messgrößen der einzelnen Abteilungen sind klar mit den Unternehmenszielen verknüpft;1;überhaupt nicht umgesetzt;komplett umgesetzt;1;2;3;4;5;;1.2;1.2.1;TCV_16;TCV_16;1.2;;;;;X;;;Fragen Business Excell 3011 eng;;;139;107;v_152;;Goals and objectives of the single departments are clearly linked with the company targets ;;1.2;1.2.1;TCV_16;;;;;;;;
148;Fragen Business Excell 3011;Mitarbeiter;;;;;18;;;140;108;;MA;v_160;;1460;1420;Match MM;;;;Die Abteilungsleiter/innen oder Teamleiter/innen verstehen, wie die Strategie gebildet wurde;1;überhaupt nicht umgesetzt;komplett umgesetzt;1;2;3;4;5;;1.2;1.2.1;TCV_17;TCV_17;1.2;;;;;X;;;Fragen Business Excell 3011 eng;;;140;108;v_160;;Department heads understand how strategy is build ;;1.2;1.2.1;TCV_17;;;;;;;;
149;Fragen Business Excell 3011;Mitarbeiter;;;BE 2;;18;2;;;109;;MA;v_161;;1470;;Match MM;;;;Management Verantwortung & Firmenkultur;;;;;;;;;;;;;;;;;;;X;;;Fragen Business Excell 3011 eng;BE 2;;;109;v_161;;Management Responsibility & Company culture;;;;;;;;;;;;
150;Fragen Business Excell 3011;Mitarbeiter;;;;;18;;;141;110;;MA;v_162;;1480;1480;Match MM;P;L;;Die Mitarbeitenden werden zur kontinuierlichen Verbesserung der Prozesse befähigt und bevollmächtigt;1;überhaupt nicht umgesetzt;komplett umgesetzt;1;2;3;4;5;;2.2;2.2.2.3;TDE_11;TDE_11;2.2;;;;;X;D;;Fragen Business Excell 3011 eng;;;141;110;v_162;;Employees are empowered to continuously improve the processes;;2.2;2.2.2.3;TDE_11;;D;;;;;;
151;Fragen Business Excell 3011;Mitarbeiter;;;;;18;;;142;111;;MA;v_163;;1490;1480;Match MM;;;;Das Management ist persönlich in Verbesserungsprozesse involviert;1;überhaupt nicht umgesetzt;komplett umgesetzt;1;2;3;4;5;;2.2;2.2.2.3;TFA_18;TFA_18;2.2;;;;;X;;;Fragen Business Excell 3011 eng;;;142;111;v_163;;Management is personally involved in improvement processes ;;2.2;2.2.2.3;TFA_18;;;;;;;;
152;Fragen Business Excell 3011;Mitarbeiter;;;;;18;;;143;112;;MA;v_164;;1500;1480;Match MM;P;K;;Probleme werden rückverfolgt, um die Ursachen zu erkennen und eine Fehlerwiederholung zu vermeiden;1;überhaupt nicht umgesetzt;komplett umgesetzt;1;2;3;4;5;;1.1;1.1.4;TFF_7;TFF_7;1.1;;;;;X;B;;Fragen Business Excell 3011 eng;;;143;112;v_164;;Problems are always traced back to their origin to identify the root causes and prevent doing the same mistake twice ;;1.1;1.1.4;TFF_7;;B;;;;;;
153;Fragen Business Excell 3011;Mitarbeiter;;;;;18;;;144;113;;MA;v_165;;1510;1480;Match MM;;;;Anweisungen und Kontrollen sind selten genutzt zugunsten einer offenen Kultur;1;überhaupt nicht umgesetzt;komplett umgesetzt;1;2;3;4;5;;1.4;1.4.1;TDD_4;TDD_4;1.4;;;;;X;E;;Fragen Business Excell 3011 eng;;;144;113;v_165;;Command and control is seldom used in favor of an open culture ;;1.4;1.4.1;TDD_4;;E;;;;;;
154;Fragen Business Excell 3011;Mitarbeiter;;;;;18;3;;;114;;MA;v_166;;1520;;Match MM;;;;Mitarbeitenden Einbindung & kontinuierliche Verbesserung;;;;;;;;;;;;;;;;;;;X;;;Fragen Business Excell 3011 eng;;;;114;v_166;;Employee involvement & continuous improvement;;;;;;;;;;;;
155;Fragen Business Excell 3011;Mitarbeiter;;;;;18;;;145;115;;MA;v_167;;1530;1520;Match MM;;;;Wir haben Methoden implementiert, um einen kontinuierlichen Verbesserungsprozess zu entfalten;1;überhaupt nicht umgesetzt;komplett umgesetzt;1;2;3;4;5;;2.2;2.2.2;TDE_10;TDE_10;2.2;;;;;X;D;;Fragen Business Excell 3011 eng;;;145;115;v_167;;We have implemented tools and methods to deploy a continuous improvement process ;;2.2;2.2.2;TDE_10;;D;;;;;;
156;Fragen Business Excell 3011;Mitarbeiter;;;;;18;;;146;116;;MA;v_168;;1540;1520;Match MM;K;R;;Unsere Mitarbeitenden haben die Autorität, Probleme in dem Moment zu lösen, wenn sie auftreten ;1;überhaupt nicht umgesetzt;komplett umgesetzt;1;2;3;4;5;;1.4;1.4.2;TDE_8;TDE_8;1.4;;;;;X;C;;Fragen Business Excell 3011 eng;;;146;116;v_168;;Our employees have the authority to correct problems when they occur ;;1.4;1.4.2;TDE_8;;C;;;;;;
157;Fragen Business Excell 3011;Mitarbeiter;;;;;18;;;147;117;;MA;v_169;;1550;1520;Match MM;K;R;;Wir bilden abteilungsübergreifende Teams, um Probleme zu lösen;1;überhaupt nicht umgesetzt;komplett umgesetzt;1;2;3;4;5;;1.3;1.3.1;TNO_13;TNO_13;1.3;;;;;X;A;;Fragen Business Excell 3011 eng;;;147;117;v_169;;Cross functional teams are formed to solve problems ;;1.3;1.3.1;TNO_13;;A;;;;;;
158;Fragen Business Excell 3011;Mitarbeiter;;;;;18;;;148;118;;MA;v_170;;1560;1520;Match MM;;;;Das Unternehmen setzt akzeptierte Verbesserungsvorschläge konsequent um;1;überhaupt nicht umgesetzt;komplett umgesetzt;1;2;3;4;5;;1.1;1.1.1;TFA_17;TFA_17;1.1;;;;;X;;;Fragen Business Excell 3011 eng;;;148;118;v_170;;The company feels responsible for the implementation of accepted suggestions for improvement ;;1.1;1.1.1;TFA_17;;;;;;;;
159;Fragen Business Excell 3011;Mitarbeiter;;;;;18;;;149;119;;MA;v_176;;1570;1520;Match MM;;;;Das Unternehmen kümmert sich um seine Mitarbeitenden;1;überhaupt nicht umgesetzt;komplett umgesetzt;1;2;3;4;5;;2.2;2.2.1.5;TCF_4;TCF_4;2.2;;;;;X;;;Fragen Business Excell 3011 eng;;;149;119;v_176;;The company takes care of its employees ;;2.2;2.2.1.5;TCF_4;;;;;;;;
160;Fragen Business Excell 3011;Mitarbeiter;;;;;18;;;150;120;;MA;v_177;;1580;1520;Match MM;;;;Jede/r unserer Mitarbeiter/innen im  Team ist funktionsübergreifend trainiert, so dass er/sie bei Bedarf andere Mitarbeiter/innen ersetzten kann;1;überhaupt nicht umgesetzt;komplett umgesetzt;1;2;3;4;5;;1.4;1.4.2;TDE_9;TDE_9;1.4;;;;;X;;;Fragen Business Excell 3011 eng;;;150;120;v_177;;Each of our employees within our work teams is cross-trained so that they can fill-in-for others when necessary ;;1.4;1.4.2;TDE_9;;;;;;;;
161;Fragen Business Excell 3011;Mitarbeiter;;;;;18;;;151;121;;MA;v_178;;1590;1520;Match MM;;;;Wir haben formale Programme zur Erhöhung der Flexibilität eingeführt, wie z.B. Job Rotation;1;überhaupt nicht umgesetzt;komplett umgesetzt;1;2;3;4;5;;1.4;1.4.2;TDE_7;TDE_7;1.4;;;;;X;;;Fragen Business Excell 3011 eng;;;151;121;v_178;;We have implemented formal programs to increase flexibility, e.g. by job rotation ;;1.4;1.4.2;TDE_7;;;;;;;;
162;Fragen Business Excell 3011;Mitarbeiter;;;;;18;;;152;122;;MA;v_179;;1600;1520;Match MM;;;;Unser Unternehmen hat regelmäßige Feedback Meetings installiert;1;überhaupt nicht umgesetzt;komplett umgesetzt;1;2;3;4;5;;1.2;1.2.3;TCA_4;TCA_4;1.2;;;;;X;;;Fragen Business Excell 3011 eng;;;152;122;v_179;;Our company has installed regular feedback meetings ;;1.2;1.2.3;TCA_4;;;;;;;;
163;Fragen Business Excell 3011;Mitarbeiter;;;;;18;;;153;123;;MA;v_180;;1610;;Match MM;;;;Die Informationen aus den Meetings werden systematisch für weiteres Training genutzt;1;;;;;;;;;2.4;2.4.2.3;ESG_5;ESG_5;2.4;;;;;X;;;Fragen Business Excell 3011 eng;;;153;123;v_180;;This information is systematically used for further training ;;2.4;2.4.2.3;ESG_5;;;;;;;;
164;Fragen Business Excell 3011;Mitarbeiter;;;BE 3;;18;4;;;124;;MA;v_171;;1620;;Match MM;;;;Allgemein;1;;;;;;;;;;;;;;;;;;X;;;Fragen Business Excell 3011 eng;BE 3;;;124;v_171;;General;;;;;;;;;;;;
